PA14_00010	DNA replication, recombination, modification and repair
PA14_00010	
PA14_00020	
PA14_00020	DNA replication, recombination, modification and repair
PA14_00030	DNA replication, recombination, modification and repair
PA14_00030	
PA14_00050	DNA replication, recombination, modification and repair
PA14_00050	
PA14_00060	Fatty acid and phospholipid metabolism
PA14_00060	
PA14_00070	
PA14_00070	Transport of small molecules
PA14_00080	
PA14_00080	Hypothetical, unclassified, unknown
PA14_00090	
PA14_00090	Translation, post-translational modification, degradation
PA14_00100	
PA14_00100	Translation, post-translational modification, degradation
PA14_00110	DNA replication, recombination, modification and repair
PA14_00110	
PA14_00120	
PA14_00120	Cell wall / LPS / capsule
PA14_00130	Hypothetical, unclassified, unknown
PA14_00130	
PA14_00140	Membrane proteins
PA14_00140	
PA14_00150	
PA14_00150	Hypothetical, unclassified, unknown
PA14_00160	
PA14_00160	Hypothetical, unclassified, unknown
PA14_00170	
PA14_00170	Transport of small molecules
PA14_00180	
PA14_00180	Transcription, RNA processing and degradation
PA14_00190	Translation, post-translational modification, degradation
PA14_00190	
PA14_00200	Translation, post-translational modification, degradation
PA14_00200	
PA14_00210	
PA14_00210	Putative enzymes
PA14_00230	DNA replication, recombination, modification and repair
PA14_00230	
PA14_00240	
PA14_00240	Translation, post-translational modification, degradation
PA14_00250	Energy metabolism
PA14_00250	
PA14_00280	
PA14_00280	Biosynthesis of cofactors, prosthetic groups and carriers
PA14_00290	
PA14_00290	Amino acid biosynthesis and metabolism
PA14_00300	
PA14_00300	Hypothetical, unclassified, unknown
PA14_00310	Translation, post-translational modification, degradation
PA14_00310	
PA14_00320	
PA14_00320	Hypothetical, unclassified, unknown
PA14_00340	
PA14_00340	Transport of small molecules
PA14_00360	Transport of small molecules
PA14_00360	
PA14_00380	
PA14_00380	Adaptation, Protection
PA14_00400	
PA14_00400	Transcriptional regulators
PA14_00410	
PA14_00410	Biosynthesis of cofactors, prosthetic groups and carriers
PA14_00420	
PA14_00420	Two-component regulatory systems
PA14_00430	
PA14_00430	Two-component regulatory systems
PA14_00440	
PA14_00440	Amino acid biosynthesis and metabolism
PA14_00450	Amino acid biosynthesis and metabolism
PA14_00450	
PA14_00460	
PA14_00460	Transcriptional regulators
PA14_00470	
PA14_00470	Hypothetical, unclassified, unknown
PA14_00480	Hypothetical, unclassified, unknown
PA14_00480	
PA14_00490	
PA14_00490	Protein secretion/export apparatus
PA14_00510	Membrane proteins
PA14_00510	
PA14_00520	Hypothetical, unclassified, unknown
PA14_00520	
PA14_00530	
PA14_00530	Hypothetical, unclassified, unknown
PA14_00550	Membrane proteins
PA14_00550	
PA14_00560	
PA14_00560	Secreted Factors (toxins, enzymes, alginate)
PA14_00570	
PA14_00570	Cell wall / LPS / capsule
PA14_00580	
PA14_00580	Fatty acid and phospholipid metabolism
PA14_00590	
PA14_00590	Fatty acid and phospholipid metabolism
